paper_id,query
id_1804.03969,find papers about < dimensional representations and trivial scaling group and quantum groups and matrix quantum groups and weakly mixing representations >
id_1805.02874,find papers about < significant fraction and continuous space and clustering formulation >
id_2301.02807,find papers about < although abc serves well and grab different linguistic effects >
id_1902.01586,find papers about < connects color electric charges and also presented >
id_1809.0505,find papers about < stock 3d models and modeling components thus inherently reflect and wise modeling process widely practiced and modern shape repositories >
id_1704.047,find papers about < four temporal and wavelength interferometric method combines four demodulated phases and wavelength interferogram >
id_1811.12039,find papers about < existing labeled dataset and outperforms previously used event representations and automatically generate approximated semantic segmentation labels and takes event information and results using corresponding grayscale images >
id_2012.05644,find papers about < step function >
id_2305.04699,find papers about < rigorous analysis >
id_2104.01554,find papers about < propagating sparse user provided labels and generate dense pseudo labels >
id_1806.07174,find papers about < two convolutional neural neworks and also introduce twenty new potential drug and identify interaction probability employing >
id_1204.4541,find papers about < robust sampling methods become necessary and much computational time >
id_2006.14937,find papers about < bayes consistency results and treat missing data and detect outliers and models often outperform common routines >
id_2304.02513,find papers about < semiconductors exhibit strong excitonic effects >
id_2106.15507,find papers about < obtain information >
id_2106.04057,find papers about < partial conformal compactification and conformal geometric method >
id_1203.1979,find papers about < cloud computing exacerbates already and financial industry crashes and alternative cloud services may appear independent and transparent layering structures >
id_1804.00813,find papers about < global rotation arises and membranous protein behavior responsible and theoretical model suggests >
id_1808.03803,find papers about < high luminosity provides and total cross section and compact linear collider >
id_quant-ph/0511181,find papers about < photons outside and nonrelativistic quantum mechanics interpreted >
id_1912.08925,find papers about < walk strategy and unlike previous random walk strategies and relative training ratio among different tasks and heterogeneous network embedding and walk strategy generates training samples according >
id_2101.10861,find papers about < based image data and literature revisions specifically involving dnns algorithms and 232 papers published and characteristics regarding application >
id_2112.09919,find papers about < value set and interfacial energy parameter and simulation results allow us >
id_1606.07189,find papers about < main challenges involved and specifically gender and online performance results indicate advantages and scale data set consisting >
id_2007.09465,find papers about < four different mri sequences totalling 257 scans and overall average dsc >
id_2201.08582,find papers about < decoder architecture and segtransvae outperforms previous methods >
id_2301.0921,find papers about < theoretically debias and predict randomly masked items within and interacted items >
id_2004.01079,find papers about < results offer additional insight and tackling natural language processing challenges >
id_2108.08112,find papers about < dynamic adjuster >
id_2201.09455,find papers about < nonlinear bank angle rate constraint and time programming problem and linear one via inequality relaxation and bank angle rate >
id_1611.02474,find papers about < finite dimensional problem and truly new ideas and prescribed asymptotic behavior >
id_2103.08441,find papers about < human robot interaction >
id_1711.1093,find papers about < inhibitory feedback show high computational performance and reservoir computing and macroscopic brain signals and rich dynamical repertoire >
id_1610.09915,find papers about < novel results >
